record_index,audit_id,label,scenario
0,2,0,normal_activity
1,3,1,attack_activity
2,4,0,normal_activity
3,5,0,admin_activity
4,6,0,normal_activity
5,7,0,normal_activity
6,8,0,normal_activity
7,9,0,normal_activity
8,10,0,normal_activity
9,11,0,normal_activity
10,12,0,successful_authentication
11,13,0,normal_activity
12,14,0,admin_activity
13,15,0,normal_activity
14,16,0,admin_activity
15,17,1,failed_authentication
16,18,0,normal_activity
17,19,0,normal_activity
18,20,1,attack_activity
19,21,0,normal_activity
20,22,0,successful_authentication
21,23,1,failed_authentication
22,24,0,admin_activity
23,25,0,normal_activity
24,26,0,normal_activity
25,27,0,normal_activity
26,28,0,normal_activity
27,29,0,normal_activity
28,30,0,normal_activity
29,31,0,normal_activity
30,32,0,normal_activity
31,33,0,normal_activity
32,34,0,normal_activity
33,35,1,attack_activity
34,36,0,admin_activity
35,37,0,admin_activity
36,38,0,normal_activity
37,39,1,attack_activity
38,40,0,normal_activity
39,41,1,attack_activity
40,42,0,normal_activity
41,43,0,normal_activity
42,44,0,normal_activity
43,45,0,normal_activity
44,46,0,admin_activity
45,47,0,normal_activity
46,48,0,normal_activity
47,49,0,normal_activity
48,50,0,normal_activity
49,51,0,normal_activity
50,52,0,normal_activity
51,53,0,normal_activity
52,54,0,admin_activity
53,55,0,normal_activity
54,56,1,attack_activity
55,57,0,normal_activity
56,58,0,normal_activity
57,59,0,normal_activity
58,60,1,attack_activity
59,61,0,normal_activity
60,62,0,normal_activity
61,63,0,normal_activity
62,64,0,normal_activity
63,65,0,normal_activity
64,66,0,normal_activity
65,67,0,normal_activity
66,68,0,normal_activity
67,69,0,normal_activity
68,70,0,normal_activity
69,71,0,normal_activity
70,72,0,normal_activity
71,73,0,normal_activity
72,74,0,admin_activity
73,75,0,normal_activity
74,76,0,admin_activity
75,77,0,normal_activity
76,78,0,normal_activity
77,79,1,attack_activity
78,80,0,normal_activity
79,81,0,normal_activity
80,82,0,normal_activity
81,83,0,normal_activity
82,84,0,normal_activity
83,85,0,normal_activity
84,86,0,normal_activity
85,87,0,normal_activity
86,88,0,normal_activity
87,89,0,normal_activity
88,90,0,normal_activity
89,91,0,normal_activity
90,92,0,normal_activity
91,93,0,normal_activity
92,94,0,normal_activity
93,95,0,normal_activity
94,96,0,normal_activity
95,97,0,normal_activity
96,98,0,normal_activity
97,99,0,admin_activity
98,100,0,normal_activity
99,101,0,normal_activity
100,102,0,normal_activity
101,103,0,normal_activity
102,104,0,normal_activity
103,105,0,normal_activity
104,106,0,normal_activity
105,107,0,normal_activity
106,108,0,normal_activity
107,109,0,normal_activity
108,110,1,attack_activity
109,111,0,admin_activity
110,112,0,normal_activity
111,113,0,normal_activity
112,114,0,normal_activity
113,115,1,failed_authentication
114,116,0,normal_activity
115,117,0,normal_activity
116,118,0,normal_activity
117,119,0,admin_activity
118,120,0,normal_activity
119,121,0,normal_activity
120,122,0,admin_activity
121,123,0,normal_activity
122,124,0,normal_activity
123,125,0,normal_activity
124,126,0,normal_activity
125,127,0,normal_activity
126,128,0,normal_activity
127,129,0,admin_activity
128,130,0,normal_activity
129,131,0,admin_activity
130,132,0,normal_activity
131,133,0,normal_activity
132,134,0,normal_activity
133,135,0,admin_activity
134,136,1,attack_activity
135,137,0,normal_activity
136,138,0,normal_activity
137,139,0,normal_activity
138,140,0,admin_activity
139,141,0,normal_activity
140,142,0,normal_activity
141,143,0,normal_activity
142,144,0,normal_activity
143,145,0,normal_activity
144,146,0,normal_activity
145,147,0,normal_activity
146,148,0,normal_activity
147,149,0,normal_activity
148,150,0,normal_activity
149,151,0,normal_activity
150,152,0,admin_activity
151,153,0,normal_activity
152,154,0,normal_activity
